ID	Name	Process	Cycle
PWY-4981	L-proline_biosynthesis_II_(from_arginine)	Amino_acid_biosynthesis	Biosynthesis
PWY-3341	L-proline_biosynthesis_III	Amino_acid_biosynthesis	Biosynthesis
PWY0-41	allantoin_degradation_IV_(anaerobic)	Amino_acid_degradation	Degradation
PWY-5694	allantoin_degradation_to_glyoxylate_I	Amino_acid_degradation	Degradation
PWY-5705	allantoin_degradation_to_glyoxylate_III	Amino_acid_degradation	Degradation
PWY-5697	allantoin_degradation_to_ureidoglycolate_I_(urea_producing)	Amino_acid_degradation	Degradation
PWY-3641	L-carnitine_degradation_III	Amino_acid_degradation	Degradation
PWY-5028	L-histidine_degradation_II	Amino_acid_degradation	Degradation
PWY-5298	L-lysine_degradation_VI	Amino_acid_degradation	Degradation
PHENYLALANINE-DEG1-PWY	L-phenylalanine_degradation_I_(aerobic)	Amino_acid_degradation	Degradation
PWY66-428	L-threonine_degradation_V	Amino_acid_degradation	Degradation
PWY-5651	L-tryptophan_degradation_to_2-amino-3-carboxymuconate_semialdehyde	Amino_acid_degradation	Degradation
PWY0-321	phenylacetate_degradation_I_(aerobic)	Aromatic_compound_degradation	Degradation
PWY-1341	phenylacetate_degradation_II_(anaerobic)	Aromatic_compound_degradation	Degradation
P184-PWY	protocatechuate_degradation_I_(meta-cleavage_pathway)	Aromatic_compound_degradation	Degradation
PWY-5691	urate_degradation_to_allantoin_I	Aromatic_compound_degradation	Degradation
PWY-5493	reductive_monocarboxylic_acid_cycle	Carbon_fixation	Autotrophic_pathways
PWY-5269	cardiolipin_biosynthesis_II	Cell_structure_biosynthesis	Biosynthesis
PWY0-1545	cardiolipin_biosynthesis_III	Cell_structure_biosynthesis	Biosynthesis
PWY-1269	CMP-3-deoxy-D-manno-octulosonate_biosynthesis_I	Cell_structure_biosynthesis	Biosynthesis
PWY-5111	CMP-3-deoxy-D-manno-octulosonate_biosynthesis_II_(from_D-arabinose_5-phosphate)	Cell_structure_biosynthesis	Biosynthesis
PWY-6397	mycolyl-arabinogalactan-peptidoglycan_complex_biosynthesis	Cell_structure_biosynthesis	Biosynthesis
PEPTIDOGLYCANSYN-PWY	peptidoglycan_biosynthesis_I_(meso-diaminopimelate_containing)	Cell_structure_biosynthesis	Biosynthesis
PWY-5265	peptidoglycan_biosynthesis_II_(staphylococci)	Cell_structure_biosynthesis	Biosynthesis
PWY4FS-7	phosphatidylglycerol_biosynthesis_I_(plastidic)	Cell_structure_biosynthesis	Biosynthesis
PWY4FS-8	phosphatidylglycerol_biosynthesis_II_(non-plastidic)	Cell_structure_biosynthesis	Biosynthesis
PWY-7346	UDP-&alpha;-D-glucuronate_biosynthesis_(from_UDP-glucose)	Cell_structure_biosynthesis	Biosynthesis
PWY-7335	UDP-N-acetyl-&alpha;-D-mannosaminouronate_biosynthesis	Cell_structure_biosynthesis	Biosynthesis
PWY-6386	UDP-N-acetylmuramoyl-pentapeptide_biosynthesis_II_(lysine-containing)	Cell_structure_biosynthesis	Biosynthesis
P185-PWY	formaldehyde_assimilation_III_(dihydroxyacetone_cycle)	formaldehyde_oxidation	Carbon_cycling
PWY-1801	formaldehyde_oxidation_II_(glutathione-dependent)	formaldehyde_oxidation	Carbon_cycling
PWY-1723	formaldehyde_oxidation_V_(H4MPT_pathway)	formaldehyde_oxidation	Carbon_cycling
PWY-1722	formate_reduction_to_5,10-methylenetetrahydrofolate	formate_reduction	Carbon_cycling
