Bin name,Completeness (from MaxBin),Genome size,GC content
maxbin2_unbinned_contigs.026.fasta,38.30%,2957301,63.1
maxbin2_unbinned_contigs.103.fasta,38.30%,693859,67.6
maxbin2_unbinned_contigs.196.fasta,38.30%,3554633,66.8
maxbin2_unbinned_contigs.235.fasta,38.30%,5234163,58.3
maxbin2_unbinned_contigs.253.fasta,38.30%,5714325,68.5
maxbin2_unbinned_contigs.289.fasta,38.30%,1415284,62.2
maxbin2_unbinned_contigs.321.fasta,38.30%,7564694,71.2
maxbin2_unbinned_contigs.324.fasta,38.30%,6737234,66.8
maxbin2_unbinned_contigs.366.fasta,38.30%,4453642,63.3
maxbin2_unbinned_contigs.399.fasta,38.30%,3241347,47.3
maxbin2_unbinned_contigs.420.fasta,38.30%,1493719,55.6
maxbin2_unbinned_contigs.461.fasta,38.30%,4390007,48.7
maxbin2_unbinned_contigs.002.fasta,37.40%,1551307,64.9
maxbin2_unbinned_contigs.041.fasta,37.40%,1540923,68.9
maxbin2_unbinned_contigs.080.fasta,37.40%,3063394,63.4
maxbin2_unbinned_contigs.091.fasta,37.40%,3686382,64.8
maxbin2_unbinned_contigs.126.fasta,37.40%,842503,69
maxbin2_unbinned_contigs.143.fasta,37.40%,240160,62.1
maxbin2_unbinned_contigs.232.fasta,37.40%,1560775,64.3
maxbin2_unbinned_contigs.258.fasta,37.40%,5095187,71.1
maxbin2_unbinned_contigs.400.fasta,37.40%,3251521,57.3
maxbin2_unbinned_contigs.408.fasta,37.40%,1544764,61.2
maxbin2_unbinned_contigs.048.fasta,36.40%,3798988,68.9
maxbin2_unbinned_contigs.081.fasta,36.40%,6903288,65.4
maxbin2_unbinned_contigs.130.fasta,36.40%,3807553,72.7
maxbin2_unbinned_contigs.169.fasta,36.40%,3808942,69.5
maxbin2_unbinned_contigs.206.fasta,36.40%,8194407,59.4
maxbin2_unbinned_contigs.227.fasta,36.40%,7784153,62.5
maxbin2_unbinned_contigs.259.fasta,36.40%,6418516,72.1
maxbin2_unbinned_contigs.336.fasta,36.40%,4195629,71.3
maxbin2_unbinned_contigs.352.fasta,36.40%,3941073,60.6
maxbin2_unbinned_contigs.383.fasta,36.40%,4870763,60.2
maxbin2_unbinned_contigs.413.fasta,36.40%,1987816,57.4
maxbin2_unbinned_contigs.430.fasta,36.40%,2816813,54.5
maxbin2_unbinned_contigs.071.fasta,35.50%,606378,68.9
maxbin2_unbinned_contigs.098.fasta,35.50%,603085,62
maxbin2_unbinned_contigs.155.fasta,35.50%,6785233,72.6
maxbin2_unbinned_contigs.187.fasta,35.50%,675102,63.2
maxbin2_unbinned_contigs.202.fasta,35.50%,7500171,53.3
maxbin2_unbinned_contigs.210.fasta,35.50%,8306403,67
maxbin2_unbinned_contigs.277.fasta,35.50%,2829843,60.8
maxbin2_unbinned_contigs.280.fasta,35.50%,1675359,60.7
maxbin2_unbinned_contigs.291.fasta,35.50%,1240103,61.7
maxbin2_unbinned_contigs.378.fasta,35.50%,5096794,60.2
maxbin2_unbinned_contigs.384.fasta,35.50%,3871768,52.5
maxbin2_unbinned_contigs.409.fasta,35.50%,4153897,58.2
maxbin2_unbinned_contigs.445.fasta,35.50%,2591213,51.5
maxbin2_unbinned_contigs.466.fasta,35.50%,2642775,48.6
maxbin2_unbinned_contigs.053.fasta,34.60%,5051169,74.1
maxbin2_unbinned_contigs.132.fasta,34.60%,1090795,69.7
maxbin2_unbinned_contigs.142.fasta,34.60%,737992,62.1
maxbin2_unbinned_contigs.163.fasta,34.60%,1637476,66.7
maxbin2_unbinned_contigs.175.fasta,34.60%,543656,61.8
maxbin2_unbinned_contigs.286.fasta,34.60%,8034437,69.7
maxbin2_unbinned_contigs.292.fasta,34.60%,5071358,69.6
maxbin2_unbinned_contigs.467.fasta,34.60%,1965166,37.6
maxbin2_unbinned_contigs.027.fasta,33.60%,1920086,64.8
maxbin2_unbinned_contigs.174.fasta,33.60%,4349029,70.6
maxbin2_unbinned_contigs.177.fasta,33.60%,1058407,66.4
maxbin2_unbinned_contigs.184.fasta,33.60%,1325364,66.3
maxbin2_unbinned_contigs.234.fasta,33.60%,2630617,59.3
maxbin2_unbinned_contigs.265.fasta,33.60%,2482112,65.8
maxbin2_unbinned_contigs.271.fasta,33.60%,4772813,67.6
maxbin2_unbinned_contigs.323.fasta,33.60%,4246465,65.1
maxbin2_unbinned_contigs.367.fasta,33.60%,2912267,61.1
maxbin2_unbinned_contigs.010.fasta,32.70%,484155,65.6
maxbin2_unbinned_contigs.012.fasta,32.70%,454014,69.2
maxbin2_unbinned_contigs.040.fasta,32.70%,1051078,62.6
maxbin2_unbinned_contigs.059.fasta,32.70%,6834554,60.6
maxbin2_unbinned_contigs.076.fasta,32.70%,7594824,70.6
maxbin2_unbinned_contigs.086.fasta,32.70%,802065,61.5
maxbin2_unbinned_contigs.111.fasta,32.70%,560342,64.9
maxbin2_unbinned_contigs.124.fasta,32.70%,987002,67.8
maxbin2_unbinned_contigs.157.fasta,32.70%,2372400,68.4
maxbin2_unbinned_contigs.170.fasta,32.70%,1338862,60
maxbin2_unbinned_contigs.241.fasta,32.70%,4029675,71.9
maxbin2_unbinned_contigs.272.fasta,32.70%,4247763,69.5
maxbin2_unbinned_contigs.275.fasta,32.70%,7668546,68.1
maxbin2_unbinned_contigs.046.fasta,31.80%,999486,68.1
maxbin2_unbinned_contigs.073.fasta,31.80%,2991121,64.5
maxbin2_unbinned_contigs.181.fasta,31.80%,7309636,71.5
maxbin2_unbinned_contigs.225.fasta,31.80%,2154359,70.6
maxbin2_unbinned_contigs.313.fasta,31.80%,2153688,67.2
maxbin2_unbinned_contigs.318.fasta,31.80%,2534595,65.9
maxbin2_unbinned_contigs.426.fasta,31.80%,3069624,54
maxbin2_unbinned_contigs.451.fasta,31.80%,2403233,51.6
maxbin2_unbinned_contigs.009.fasta,30.80%,1556196,69.4
maxbin2_unbinned_contigs.039.fasta,30.80%,363096,68.9
maxbin2_unbinned_contigs.044.fasta,30.80%,456390,66.5
maxbin2_unbinned_contigs.077.fasta,30.80%,3672784,71.9
maxbin2_unbinned_contigs.083.fasta,30.80%,756410,69.9
maxbin2_unbinned_contigs.101.fasta,30.80%,703121,70.8
maxbin2_unbinned_contigs.105.fasta,30.80%,299165,64.1
maxbin2_unbinned_contigs.109.fasta,30.80%,861271,70.8
maxbin2_unbinned_contigs.176.fasta,30.80%,7541043,71.9
maxbin2_unbinned_contigs.263.fasta,30.80%,6143398,69.4
maxbin2_unbinned_contigs.316.fasta,30.80%,1847556,60.9
maxbin2_unbinned_contigs.346.fasta,30.80%,5126678,65
maxbin2_unbinned_contigs.152.fasta,29.90%,203558,61.8
maxbin2_unbinned_contigs.183.fasta,29.90%,2551459,71.3
maxbin2_unbinned_contigs.322.fasta,29.90%,5357454,69
maxbin2_unbinned_contigs.449.fasta,29.90%,1758010,49.7
maxbin2_unbinned_contigs.050.fasta,29%,757725,67.8
maxbin2_unbinned_contigs.118.fasta,29%,390520,65.5
maxbin2_unbinned_contigs.140.fasta,29%,2792276,69.6
maxbin2_unbinned_contigs.144.fasta,29%,1080524,60.8
maxbin2_unbinned_contigs.197.fasta,29%,1263317,64.7
maxbin2_unbinned_contigs.218.fasta,29%,2738053,70.1
maxbin2_unbinned_contigs.338.fasta,29%,4430523,65.9
maxbin2_unbinned_contigs.387.fasta,29%,2545203,60.8
maxbin2_unbinned_contigs.411.fasta,29%,2380302,37.5
maxbin2_unbinned_contigs.415.fasta,29%,5956328,57.6
maxbin2_unbinned_contigs.463.fasta,29%,3929033,42.2
maxbin2_unbinned_contigs.031.fasta,28%,354238,68.3
maxbin2_unbinned_contigs.052.fasta,28%,2543672,71.3
maxbin2_unbinned_contigs.114.fasta,28%,286691,63
maxbin2_unbinned_contigs.216.fasta,28%,3391352,66.7
maxbin2_unbinned_contigs.248.fasta,28%,3649835,66.1
maxbin2_unbinned_contigs.252.fasta,28%,3795975,69.1
maxbin2_unbinned_contigs.269.fasta,28%,2894723,66.3
maxbin2_unbinned_contigs.372.fasta,28%,6003457,59.4
maxbin2_unbinned_contigs.386.fasta,28%,1827445,60.9
maxbin2_unbinned_contigs.404.fasta,28%,1596330,36.5
maxbin2_unbinned_contigs.428.fasta,28%,1891564,54.8
maxbin2_unbinned_contigs.056.fasta,27.10%,3788460,68.6
maxbin2_unbinned_contigs.119.fasta,27.10%,622530,67.7
maxbin2_unbinned_contigs.217.fasta,27.10%,6202974,66.1
maxbin2_unbinned_contigs.221.fasta,27.10%,765435,35.6
maxbin2_unbinned_contigs.374.fasta,27.10%,3294578,55.6
maxbin2_unbinned_contigs.478.fasta,27.10%,4453112,38.3
maxbin2_unbinned_contigs.054.fasta,26.20%,450111,67.1
maxbin2_unbinned_contigs.061.fasta,26.20%,850874,62.7
maxbin2_unbinned_contigs.066.fasta,26.20%,4944505,69.6
maxbin2_unbinned_contigs.097.fasta,26.20%,595612,61.5
maxbin2_unbinned_contigs.131.fasta,26.20%,4595542,75.1
maxbin2_unbinned_contigs.149.fasta,26.20%,385943,62.5
maxbin2_unbinned_contigs.150.fasta,26.20%,545239,63.8
maxbin2_unbinned_contigs.171.fasta,26.20%,2817794,64.8
maxbin2_unbinned_contigs.344.fasta,26.20%,4074714,68.6
maxbin2_unbinned_contigs.364.fasta,26.20%,2065566,66.7
maxbin2_unbinned_contigs.025.fasta,25.20%,1777094,64.6
maxbin2_unbinned_contigs.065.fasta,25.20%,450972,62.9
maxbin2_unbinned_contigs.082.fasta,25.20%,6609835,74.8
maxbin2_unbinned_contigs.090.fasta,25.20%,3333135,71.7
maxbin2_unbinned_contigs.237.fasta,25.20%,2515706,63.3
maxbin2_unbinned_contigs.246.fasta,25.20%,1468249,68.5
maxbin2_unbinned_contigs.353.fasta,25.20%,6711760,54.5
maxbin2_unbinned_contigs.459.fasta,25.20%,648797,46.2
maxbin2_unbinned_contigs.113.fasta,24.30%,303356,65.1
maxbin2_unbinned_contigs.147.fasta,24.30%,3328158,66.6
maxbin2_unbinned_contigs.283.fasta,24.30%,783599,66.8
maxbin2_unbinned_contigs.341.fasta,24.30%,2850348,64.3
maxbin2_unbinned_contigs.397.fasta,24.30%,4508041,59.8
maxbin2_unbinned_contigs.432.fasta,24.30%,3319272,55.5
maxbin2_unbinned_contigs.468.fasta,24.30%,2791574,35.4
maxbin2_unbinned_contigs.104.fasta,23.40%,113216,64.8
maxbin2_unbinned_contigs.108.fasta,23.40%,167896,63.3
maxbin2_unbinned_contigs.133.fasta,23.40%,463747,60.6
maxbin2_unbinned_contigs.185.fasta,23.40%,988547,66.3
maxbin2_unbinned_contigs.255.fasta,23.40%,4556879,73.4
maxbin2_unbinned_contigs.429.fasta,23.40%,1591419,54.5
maxbin2_unbinned_contigs.450.fasta,23.40%,676753,52
maxbin2_unbinned_contigs.100.fasta,22.40%,3532672,37.8
maxbin2_unbinned_contigs.166.fasta,22.40%,2764455,62.3
maxbin2_unbinned_contigs.207.fasta,22.40%,6719416,63.7
maxbin2_unbinned_contigs.278.fasta,22.40%,5569226,73.5
maxbin2_unbinned_contigs.288.fasta,22.40%,4399685,73.2
maxbin2_unbinned_contigs.314.fasta,22.40%,1166833,56
maxbin2_unbinned_contigs.019.fasta,21.50%,1218903,70.9
maxbin2_unbinned_contigs.037.fasta,21.50%,2216933,69.4
maxbin2_unbinned_contigs.135.fasta,21.50%,2618188,67.2
maxbin2_unbinned_contigs.153.fasta,21.50%,121199,64
maxbin2_unbinned_contigs.182.fasta,21.50%,3883030,68
maxbin2_unbinned_contigs.315.fasta,21.50%,2613796,66.9
maxbin2_unbinned_contigs.358.fasta,21.50%,1860660,64.8
maxbin2_unbinned_contigs.465.fasta,21.50%,2521524,30
maxbin2_unbinned_contigs.121.fasta,20.60%,446009,64
maxbin2_unbinned_contigs.129.fasta,20.60%,328375,64
maxbin2_unbinned_contigs.172.fasta,20.60%,746089,61.8
maxbin2_unbinned_contigs.186.fasta,20.60%,5987332,75.2
maxbin2_unbinned_contigs.193.fasta,20.60%,3827608,68.7
maxbin2_unbinned_contigs.214.fasta,20.60%,3134872,68.3
maxbin2_unbinned_contigs.254.fasta,20.60%,1602856,61.8
maxbin2_unbinned_contigs.305.fasta,20.60%,3191807,70.2
maxbin2_unbinned_contigs.309.fasta,20.60%,3361383,60.4
maxbin2_unbinned_contigs.329.fasta,20.60%,6096812,73.4
maxbin2_unbinned_contigs.017.fasta,19.60%,201202,64.8
maxbin2_unbinned_contigs.067.fasta,19.60%,5612475,74.5
maxbin2_unbinned_contigs.127.fasta,19.60%,1330639,66
maxbin2_unbinned_contigs.139.fasta,19.60%,228849,63.4
maxbin2_unbinned_contigs.198.fasta,19.60%,349082,64.1
maxbin2_unbinned_contigs.407.fasta,19.60%,7004290,54.5
maxbin2_unbinned_contigs.425.fasta,19.60%,2801196,55.4
maxbin2_unbinned_contigs.068.fasta,18.70%,1770119,70.7
maxbin2_unbinned_contigs.095.fasta,18.70%,12962328,50.1
maxbin2_unbinned_contigs.146.fasta,18.70%,3087828,75
maxbin2_unbinned_contigs.188.fasta,18.70%,1300966,62.9
maxbin2_unbinned_contigs.311.fasta,18.70%,5863507,70
